Document No.;Type;Quantity;Item No.;Item Description;barcode
S-OTP-26-17958;SHIPMENT;1,00;NTR97323;PCM nadmadrac FLEX COMFORT 160x200;NTR97323
S-OTP-26-17958;SHIPMENT;3,00;NTR43264;PCM štep deka vata 100 g navl.pamuk/pamuk 200x180;NTR43264
S-OTP-26-17958;SHIPMENT;2,00;NTR43193;PCM jastuk silikonski 80x60 neštepani;NTR43193
S-OTP-26-17958;SHIPMENT;2,00;NTR80232;LP NELA ormar klizni 200x150/180/220/270 2VR L+D bočna stranica hrast ontario;NTR80232
S-OTP-26-17958;SHIPMENT;2,00;NTR80217;LP NELA ormar klizni 200x150 pod/strop/sr.vez bijelo;NTR80217
S-OTP-26-17958;SHIPMENT;1,00;NGP234828;PC CVITA NEXT ormar stranice D+L hrast cremona CANNOLO ZA.;NGP234828
S-OTP-26-17958;SHIPMENT;2,00;NTR80218;LP NELA ormar klizni 200x150 okomica veća+manja/police bijelo;NTR80218
S-OTP-26-17958;SHIPMENT;2,00;NTR80222;LP NELA ormar klizni 200x150 sokl hrast ontario;NTR80222
S-OTP-26-17958;SHIPMENT;1,00;NTR88540;LP NELA ormar klizni 200x150 leđa/vrata L+D crna mat;NTR88540
S-OTP-26-17958;SHIPMENT;1,00;NTR88573;LP NELA ormar klizni 200x150 okov s crnim ručkama;NTR88573
S-OTP-26-17958;SHIPMENT;1,00;NTR80225;LP NELA ormar klizni 200x150 leđa/vrata L+D saten mat;NTR80225
S-OTP-26-17958;SHIPMENT;1,00;NTR80228;LP NELA ormar klizni 200x150 okov;NTR80228
S-OTP-26-17959;SHIPMENT;1,00;NGP077682;PC CVITA krevet lebdeći stranica 200x160/180 hrast chalet pak.1/3 ZA.;NGP077682
S-OTP-26-17959;SHIPMENT;1,00;NTR82498;PCM TINA 2 fran. krevet 200x160 TAPET Himalia 134 zeleno;NTR82498
S-OTP-26-17959;SHIPMENT;1,00;NTR82499;PCM TINA 2 fran. krevet 200x160 UZGLAVLJE Himalia 134 zeleno;NTR82499
S-OTP-26-17959;SHIPMENT;1,00;NTR97327;PCM nadmadrac SOFT PLUS 140x200;NTR97327
S-OTP-26-17959;SHIPMENT;1,00;NTR97325;PCM nadmadrac SOFT PLUS 90x200;NTR97325
S-OTP-26-17959;SHIPMENT;1,00;NTR81896;PCM BASIC SOFT madrac 200x90;NTR81896
S-OTP-26-17959;SHIPMENT;1,00;NTR87045;PCM POLINA box krevet 200X180 MADRAC Stanlio 136 rozo;NTR87045
S-OTP-26-17959;SHIPMENT;1,00;NTR87025;PCM POLINA box krevet 200X180 NADMADRAC;NTR87025
S-OTP-26-17959;SHIPMENT;2,00;NTR81964;PCM STELLAR madrac 200x80;NTR81964
S-OTP-26-17959;SHIPMENT;1,00;NTR81961;PCM STELLAR madrac 200x180;NTR81961
S-OTP-26-17959;SHIPMENT;1,00;NGP077683;PC CVITA krevet lebdeći 200x180 hrast chalet pak.2/3 ZA.;NGP077683
S-OTP-26-17959;SHIPMENT;1,00;NGP077684;PC CVITA krevet lebdeći 200x180 hrast chalet pak.3/3 ZA.;NGP077684
S-OTP-26-17959;SHIPMENT;1,00;NTR43263;PCM štep deka vata 100 g navl.pamuk/pamuk 200x160;NTR43263
S-OTP-26-17959;SHIPMENT;2,00;NTR71432;PCM barska stolica OLIVIA bukva sivo Rita 9811 smeđe;NTR71432
S-OTP-26-17959;SHIPMENT;1,00;NTR81938;PCM NORDIC LUX madrac 200x90;NTR81938
S-OTP-26-17959;SHIPMENT;1,00;NTR82329;PCM TINA 2 fran. krevet 140/160 OKOV+NOGE;NTR82329
S-OTP-26-17959;SHIPMENT;1,00;NTR82463;PCM TINA 2 fran. krevet 200x80 KORPUS DESNI Himalia 134 zeleno;NTR82463
S-OTP-26-17959;SHIPMENT;1,00;NTR82471;PCM TINA 2 fran. krevet 200x80 KORPUS LIJEVI Himalia 134 zeleno;NTR82471
S-OTP-26-17960;SHIPMENT;1,00;NGP077682;PC CVITA krevet lebdeći stranica 200x160/180 hrast chalet pak.1/3 ZA.;NGP077682
S-OTP-26-17960;SHIPMENT;3,00;NTR82298;PCM TINA 2 fran. krevet 200x80 KORPUS LIJEVI Himalia 105 cappuccino;NTR82298
S-OTP-26-17960;SHIPMENT;2,00;NTR82301;PCM TINA 2 fran. krevet 200x90 KORPUS DESNI Himalia 108 sivo;NTR82301
S-OTP-26-17960;SHIPMENT;2,00;NTR82303;PCM TINA 2 fran. krevet 200x90 KORPUS LIJEVI Himalia 108 sivo;NTR82303
S-OTP-26-17960;SHIPMENT;3,00;NTR82315;PCM TINA 2 fran. krevet 200x160 TAPET Himalia 105 cappuccino;NTR82315
S-OTP-26-17960;SHIPMENT;3,00;NTR82317;PCM TINA 2 fran. krevet 200x160 UZGLAVLJE Himalia 105 cappuccino;NTR82317
S-OTP-26-17960;SHIPMENT;2,00;NTR82320;PCM TINA 2 fran. krevet 200x180 UZGLAVLJE Himalia 108 sivo;NTR82320
S-OTP-26-17960;SHIPMENT;2,00;NTR82322;PCM TINA 2 fran. krevet 200x90 TAPET DESNI Himalia 108 sivo;NTR82322
S-OTP-26-17960;SHIPMENT;1,00;NGP077683;PC CVITA krevet lebdeći 200x180 hrast chalet pak.2/3 ZA.;NGP077683
S-OTP-26-17960;SHIPMENT;2,00;NTR82324;PCM TINA 2 fran. krevet 200x90 TAPET LIJEVI Himalia 108 sivo;NTR82324
S-OTP-26-17960;SHIPMENT;6,00;NTR82329;PCM TINA 2 fran. krevet 140/160 OKOV+NOGE;NTR82329
S-OTP-26-17960;SHIPMENT;2,00;NTR82330;PCM TINA 2 fran. krevet 180 OKOV+NOGE;NTR82330
S-OTP-26-17960;SHIPMENT;1,00;NTR82332;PCM IVONA fran. krevet 90/120 OKOV+NOGE;NTR82332
S-OTP-26-17960;SHIPMENT;1,00;NTR82407;PCM IVONA fran. krevet 200x90 KORPUS Neve 85 sivo;NTR82407
S-OTP-26-17960;SHIPMENT;1,00;NTR82408;PCM IVONA fran. krevet 200x90 TAPET Neve 85 sivo;NTR82408
S-OTP-26-17960;SHIPMENT;1,00;NTR82409;PCM IVONA fran. krevet 200x90 UZGLAVLJE Neve 85 sivo;NTR82409
S-OTP-26-17960;SHIPMENT;6,00;NTR88726;PCM noge DAVOS/VITA/ZARA/MIA bukva crno;NTR88726
S-OTP-26-17960;SHIPMENT;1,00;NGP077684;PC CVITA krevet lebdeći 200x180 hrast chalet pak.3/3 ZA.;NGP077684
S-OTP-26-17960;SHIPMENT;1,00;NTR94622;PCM KETI fran. krevet 160x200 UZGLAVLJE Timor New 102 sivo;NTR94622
S-OTP-26-17960;SHIPMENT;1,00;NTR94623;PCM KETI/VALA fran. krevet 80x200 KORPUS DESNI Timor New 102 sivo;NTR94623
S-OTP-26-17960;SHIPMENT;1,00;NTR94624;PCM KETI/VALA fran. krevet 80x200 KORPUS LIJEVI Timor New 102 sivo;NTR94624
S-OTP-26-17960;SHIPMENT;1,00;NTR94625;PCM KETI/VALA fran. krevet 160x200 TAPET Timor New 102 sivo;NTR94625
S-OTP-26-17960;SHIPMENT;2,00;NTR97329;PCM nadmadrac SOFT PLUS 180x200;NTR97329
S-OTP-26-17960;SHIPMENT;1,00;NTR83603;PCM RITA 2 fran. krevet 200x140 TAPET Helena 136 prljavo rozo;NTR83603
S-OTP-26-17960;SHIPMENT;1,00;NTR83606;PCM RITA 2 fran. krevet 200x140 UZGLAVLJE Helena 136 prljavo rozo;NTR83606
S-OTP-26-17960;SHIPMENT;1,00;NTR83857;PCM RITA 2 fran. krevet 200x70 KORPUS DESNI Helena 136 prljavo rozo;NTR83857
S-OTP-26-17960;SHIPMENT;1,00;NTR83876;PCM RITA 2 fran. krevet 200x70 KORPUS LIJEVI Helena 136 prljavo rozo;NTR83876
S-OTP-26-17960;SHIPMENT;2,00;NTR82334;PCM RITA 2 fran. krevet 140/160 OKOV+NOGE;NTR82334
S-OTP-26-17960;SHIPMENT;2,00;NTR43176;PCM jastuk anatomski MEMORY CONTOUR 70x40x10/12;NTR43176
S-OTP-26-17960;SHIPMENT;1,00;NTR82296;PCM TINA 2 fran. krevet 200x80 KORPUS DESNI Himalia 108 sivo;NTR82296
S-OTP-26-17960;SHIPMENT;1,00;NTR82299;PCM TINA 2 fran. krevet 200x80 KORPUS LIJEVI Himalia 108 sivo;NTR82299
S-OTP-26-17960;SHIPMENT;1,00;NTR82316;PCM TINA 2 fran. krevet 200x160 TAPET Himalia 108 sivo;NTR82316
S-OTP-26-17960;SHIPMENT;1,00;NTR82318;PCM TINA 2 fran. krevet 200x160 UZGLAVLJE Himalia 108 sivo;NTR82318
S-OTP-26-17960;SHIPMENT;1,00;NTR83601;PCM RITA 2 fran. krevet 200x140 TAPET Helena 103 cappuccino;NTR83601
S-OTP-26-17960;SHIPMENT;1,00;NTR83604;PCM RITA 2 fran. krevet 200x140 UZGLAVLJE Helena 103 cappuccino;NTR83604
S-OTP-26-17960;SHIPMENT;1,00;NTR83855;PCM RITA 2 fran. krevet 200x70 KORPUS DESNI Helena 103 cappuccino;NTR83855
S-OTP-26-17960;SHIPMENT;1,00;NTR83874;PCM RITA 2 fran. krevet 200x70 KORPUS LIJEVI Helena 103 cappuccino;NTR83874
S-OTP-26-17960;SHIPMENT;1,00;NTR68884;PCM komoda ORDOS/SAHARA  crno mat pak. 2/2 NOGE;NTR68884
S-OTP-26-17960;SHIPMENT;1,00;NTR97328;PCM nadmadrac SOFT PLUS 160x200;NTR97328
S-OTP-26-17960;SHIPMENT;1,00;NTR43263;PCM štep deka vata 100 g navl.pamuk/pamuk 200x160;NTR43263
S-OTP-26-17960;SHIPMENT;1,00;NTR69034;PCM komoda SAHARA hrast furnir Sahara Noir crno mat pak. 1/2 KORPUS + VRATA;NTR69034
S-OTP-26-17960;SHIPMENT;1,00;NTR43264;PCM štep deka vata 100 g navl.pamuk/pamuk 200x180;NTR43264
S-OTP-26-17960;SHIPMENT;1,00;NTR86984;PCM POLINA box krevet 200X160 MADRAC Stanlio 101 krem;NTR86984
S-OTP-26-17960;SHIPMENT;1,00;NTR86998;PCM POLINA box krevet 200X160 NADMADRAC;NTR86998
S-OTP-26-17960;SHIPMENT;1,00;NTR82286;PCM TINA 2 fran. krevet 200x70 KORPUS DESNI Himalia 105 cappuccino;NTR82286
S-OTP-26-17960;SHIPMENT;1,00;NTR82290;PCM TINA 2 fran. krevet 200x70 KORPUS LIJEVI Himalia 105 cappuccino;NTR82290
S-OTP-26-17960;SHIPMENT;1,00;NTR82311;PCM TINA 2 fran. krevet 200x140 TAPET Himalia 105 cappuccino;NTR82311
S-OTP-26-17960;SHIPMENT;1,00;NTR81892;PCM BASIC SOFT madrac 200x160;NTR81892
S-OTP-26-17960;SHIPMENT;1,00;NTR82313;PCM TINA 2 fran. krevet 200x140 UZGLAVLJE Himalia 105 cappuccino;NTR82313
S-OTP-26-17960;SHIPMENT;3,00;NTR82295;PCM TINA 2 fran. krevet 200x80 KORPUS DESNI Himalia 105 cappuccino;NTR82295
S-OTP-26-17961;SHIPMENT;1,00;NGP084136;PC stol DAVOS-R PLOČA 160-210x90 hrast engrain classic ZA.;NGP084136
S-OTP-26-17961;SHIPMENT;2,00;NTR82329;PCM TINA 2 fran. krevet 140/160 OKOV+NOGE;NTR82329
S-OTP-26-17961;SHIPMENT;1,00;NTR82414;PCM RITA 2 fran. krevet 200x180 UZGLAVLJE Helena 103 cappuccino;NTR82414
S-OTP-26-17961;SHIPMENT;1,00;NTR82417;PCM RITA 2 fran. krevet 200x90 TAPET DESNI Helena 103 cappuccino;NTR82417
S-OTP-26-17961;SHIPMENT;1,00;NTR82420;PCM RITA 2 fran. krevet 200x90 TAPET LIJEVI Helena 103 cappuccino;NTR82420
S-OTP-26-17961;SHIPMENT;1,00;NTR82477;PCM RITA 2 fran. krevet 200x90 KORPUS DESNI Helena 103 cappuccino;NTR82477
S-OTP-26-17961;SHIPMENT;1,00;NTR82482;PCM RITA 2 fran. krevet 200x90 KORPUS LIJEVI Helena 103 cappuccino;NTR82482
S-OTP-26-17961;SHIPMENT;1,00;NTR82532;PCM RITA 2 fran. krevet 180 OKOV+NOGE;NTR82532
S-OTP-26-17961;SHIPMENT;1,00;NTR94608;PCM KETI fran. krevet 120x200 UZGLAVLJE Timor New 101 bijela;NTR94608
S-OTP-26-17961;SHIPMENT;1,00;NTR94609;PCM KETI/VALA fran. krevet 120x200 KORPUS Timor New 101 bijela;NTR94609
S-OTP-26-17961;SHIPMENT;1,00;NTR94610;PCM KETI/VALA fran. krevet 120x200 TAPET Timor New 101 bijela;NTR94610
S-OTP-26-17961;SHIPMENT;1,00;NTR38712;PCM stol DAVOS R NOGE 160/210x90 crno;NTR38712
S-OTP-26-17961;SHIPMENT;1,00;NTR94611;PCM KETI fran. krevet 120 OKOV+NOGE;NTR94611
S-OTP-26-17961;SHIPMENT;1,00;NTR92562;PCM LINA 2 fran. krevet 160x200 UZGLAVLJE Mercury 102 svijetlo sivo/Mercury 201 žuto;NTR92562
S-OTP-26-17961;SHIPMENT;1,00;NTR92567;PCM LINA 2 fran. krevet 80x200 KORPUS DESNI Mercury 102 svijetlo sivo;NTR92567
S-OTP-26-17961;SHIPMENT;1,00;NTR92572;PCM LINA 2 fran. krevet 80x200 KORPUS LIJEVI Mercury 102 svijetlo sivo;NTR92572
S-OTP-26-17961;SHIPMENT;1,00;NTR92577;PCM LINA 2 fran. krevet 160x200 TAPET Mercury 102 svijetlo sivo;NTR92577
S-OTP-26-17961;SHIPMENT;1,00;NTR92578;PCM LINA 2 fran. krevet 160x200 OKOV+NOGE;NTR92578
S-OTP-26-17961;SHIPMENT;1,00;NTR82295;PCM TINA 2 fran. krevet 200x80 KORPUS DESNI Himalia 105 cappuccino;NTR82295
S-OTP-26-17961;SHIPMENT;1,00;NTR82298;PCM TINA 2 fran. krevet 200x80 KORPUS LIJEVI Himalia 105 cappuccino;NTR82298
S-OTP-26-17961;SHIPMENT;1,00;NTR82315;PCM TINA 2 fran. krevet 200x160 TAPET Himalia 105 cappuccino;NTR82315
S-OTP-26-17961;SHIPMENT;1,00;NTR82317;PCM TINA 2 fran. krevet 200x160 UZGLAVLJE Himalia 105 cappuccino;NTR82317
S-OTP-26-17961;SHIPMENT;1,00;NTR43194;PCM madrac PRIMA PICOLLO 120X60;NTR43194
S-OTP-26-17961;SHIPMENT;1,00;NTR81961;PCM STELLAR madrac 200x180;NTR81961
S-OTP-26-17961;SHIPMENT;1,00;NTR81969;PCM STRONG madrac 200x160;NTR81969
S-OTP-26-17961;SHIPMENT;1,00;NTR82287;PCM TINA 2 fran. krevet 200x70 KORPUS DESNI Himalia 108 sivo;NTR82287
S-OTP-26-17961;SHIPMENT;1,00;NTR82291;PCM TINA 2 fran. krevet 200x70 KORPUS LIJEVI Himalia 108 sivo;NTR82291
S-OTP-26-17961;SHIPMENT;1,00;NTR82312;PCM TINA 2 fran. krevet 200x140 TAPET Himalia 108 sivo;NTR82312
S-OTP-26-17961;SHIPMENT;1,00;NTR82314;PCM TINA 2 fran. krevet 200x140 UZGLAVLJE Himalia 108 sivo;NTR82314
S-PR-26-47279;RECEIPT;20,00;NTR82270;PCM RITA 2 fran. krevet 200x160 TAPET Helena 103 cappuccino;NTR82270
S-PR-26-47279;RECEIPT;10,00;NTR82414;PCM RITA 2 fran. krevet 200x180 UZGLAVLJE Helena 103 cappuccino;NTR82414
S-PR-26-47279;RECEIPT;10,00;NTR82417;PCM RITA 2 fran. krevet 200x90 TAPET DESNI Helena 103 cappuccino;NTR82417
S-PR-26-47279;RECEIPT;10,00;NTR82420;PCM RITA 2 fran. krevet 200x90 TAPET LIJEVI Helena 103 cappuccino;NTR82420
S-PR-26-47279;RECEIPT;10,00;NTR82477;PCM RITA 2 fran. krevet 200x90 KORPUS DESNI Helena 103 cappuccino;NTR82477
S-PR-26-47279;RECEIPT;10,00;NTR82482;PCM RITA 2 fran. krevet 200x90 KORPUS LIJEVI Helena 103 cappuccino;NTR82482
S-PR-26-47279;RECEIPT;10,00;NTR82532;PCM RITA 2 fran. krevet 180 OKOV+NOGE;NTR82532
S-PR-26-47279;RECEIPT;20,00;NTR82271;PCM RITA 2 fran. krevet 200x160 UZGLAVLJE Helena 103 cappuccino;NTR82271
S-PR-26-47279;RECEIPT;20,00;NTR82294;PCM RITA 2 fran. krevet 200x80 KORPUS DESNI Helena 103 cappuccino;NTR82294
S-PR-26-47279;RECEIPT;20,00;NTR82297;PCM RITA 2 fran. krevet 200x80 KORPUS LIJEVI Helena 103 cappuccino;NTR82297
S-PR-26-47279;RECEIPT;30,00;NTR82334;PCM RITA 2 fran. krevet 140/160 OKOV+NOGE;NTR82334
S-PR-26-47279;RECEIPT;10,00;NTR83603;PCM RITA 2 fran. krevet 200x140 TAPET Helena 136 prljavo rozo;NTR83603
S-PR-26-47279;RECEIPT;10,00;NTR83606;PCM RITA 2 fran. krevet 200x140 UZGLAVLJE Helena 136 prljavo rozo;NTR83606
S-PR-26-47279;RECEIPT;10,00;NTR83857;PCM RITA 2 fran. krevet 200x70 KORPUS DESNI Helena 136 prljavo rozo;NTR83857
S-PR-26-47279;RECEIPT;10,00;NTR83876;PCM RITA 2 fran. krevet 200x70 KORPUS LIJEVI Helena 136 prljavo rozo;NTR83876
S-PR-26-47363;RECEIPT;16,00;NGP250012;PC DAVOS predsoblje ogledalo hrast cremona cannolo ZA.;NGP250012
S-PR-26-47364;RECEIPT;5,00;NGP200667;PC JULIJA ormar 204x180 s LAD. MASKA/VRATA bijelo pak.1/2 ZA.;NGP200667
S-PR-26-47364;RECEIPT;10,00;NGP090411;PC JULIJA ormar 204x135 s LAD. MASKA/VRATA bijelo pak.1/2 ZA.;NGP090411
S-PR-26-47371;RECEIPT;30,00;NGP235648;PC stol ARUNA fi 120 PLOČA Hrast Cremona Cotta ZA.;NGP235648
S-PR-26-47372;RECEIPT;20,00;NGP235649;PC stol ARUNA fi 120 PLOČA Crystal Marble ZA.;NGP235649
S-PR-26-47373;RECEIPT;30,00;NGP235376;PC stol ARUNA fi 120 PLOČA Hrast Chalet ZA.;NGP235376
S-PR-26-47386;RECEIPT;38,00;NTR80266;LP NELA ormar klizni 200x180/270 fronta donja (1 kom) saten mat;NTR80266
S-PR-26-47457;RECEIPT;10,00;NTR74369;LP pisaći stol OSKAR LUX 3L KORPUS bijela;NTR74369
S-PR-26-47457;RECEIPT;9,00;NTR74370;LP pisaći stol OSKAR LUX 3L KORPUS hrast ontario;NTR74370
S-PR-26-47463;RECEIPT;2,00;NGP00850;PCK oprema LETVA za viseće elemente;NGP00850|M|2
S-PR-26-47477;RECEIPT;20,00;NTR68925;PSS noge BRIGITA metal flah crno mat pak.2/2;NTR68925
S-PR-26-47477;RECEIPT;20,00;NTR75682;PSS postolje ALBA crno mat fiksno pak.2/2;NTR75682
S-PR-26-47477;RECEIPT;30,00;NTR86165;PSS fotelja SENA postolje crno mat metal DZ.;NTR86165
S-PR-26-47478;RECEIPT;8,00;NTR59459;PSS barska stolica TENOR  hrast ulje Avelina 9852 t.siva;NTR59459
S-PR-26-47478;RECEIPT;16,00;NTR68927;PSS fotelja sjedište BRIGITA Rubens 7510 bež pak.1/2;NTR68927
S-PR-26-47478;RECEIPT;10,00;NTR78470;PSS stolica KIKO crno metal mat Benett 9502 siva sjedište pak.1/2;NTR78470
S-PR-26-47478;RECEIPT;20,00;NTR78258;PSS stolica sjedište MONDO  Kashmir 9490 bij.kava (jez.džep);NTR78258
S-PR-26-47478;RECEIPT;10,00;NTR78264;PSS stolica sjedište MONDO  Kashmir 9500 svijetlo sivo (jez.džep);NTR78264
S-PR-26-47478;RECEIPT;1,00;NTR78291;PSS fotelja ORDOS sjedište okret. mehanizam Bull 111 tobacco;NTR78291
S-PR-26-47478;RECEIPT;1,00;NTR78295;PSS fotelja ORDOS sjedište okret. mehanizam Bull 158 sivo plava;NTR78295
S-PR-26-47478;RECEIPT;30,00;NTR95497;PSS fotelja SENA sjedište Bull 158 sivo plavo/Puente 33 svijetlo zeleno DZ.;NTR95497
S-PR-26-47478;RECEIPT;20,00;NTR78440;PSS polubarska stolica VITA crno Benett 9516 zelena;NTR78440
S-PR-26-47478;RECEIPT;2,00;NTR59548;PSS polubarska stolica TENOR  hrast ulje Avelina 9502 s.siva;NTR59548
S-PR-26-47478;RECEIPT;1,00;NTR59575;PSS polubarska stolica TENOR bijelo Avelina 9192  t.plavo;NTR59575
S-PR-26-47478;RECEIPT;8,00;NTR78292;PSS fotelja ORDOS sjedište okret. mehanizam Bull 127 konjak smeđa;NTR78292
S-PR-26-47478;RECEIPT;10,00;NTR78306;PSS fotelja sjedište BRIGITA Rubens 7501 tamno siva pak.1/2;NTR78306
S-PR-26-47478;RECEIPT;16,00;NTR78442;PSS polubarska stolica VITA crno Benett 9502 siva;NTR78442
S-PR-26-47478;RECEIPT;20,00;NTR78441;PSS polubarska stolica VITA crno Benett 9573 sv. siva;NTR78441
S-PR-26-47478;RECEIPT;30,00;NTR87558;PSS sjedište stolica DAVOS Monaco 9001 sv. zelena pak.1/2;NTR87558
S-PR-26-47478;RECEIPT;20,00;NTR87563;PSS sjedište stolica SCALA Mist 108 sivo pak.1/2;NTR87563
S-PR-26-47478;RECEIPT;4,00;NTR78293;PSS fotelja ORDOS sjedište okret. mehanizam Bull 156 tamno zelena;NTR78293
S-PR-26-47478;RECEIPT;17,00;NTR78394;PSS polubarska stolica MONDO crni mat metal Kashmir 9490 bij.kava;NTR78394
S-PR-26-47478;RECEIPT;1,00;NTR78399;PSS polubarska stolica MONDO crni mat metal Kashmir 9500 svijetlo sivo;NTR78399
S-PR-26-47478;RECEIPT;1,00;NTR87566;PSS sjedište fotelja TENOR Avelina 9811 cappuccino pak.1/2;NTR87566
S-PR-26-47478;RECEIPT;6,00;NTR78340;PSS stolica ALBA sjedište Bull 48 tamno plava pak.1/2;NTR78340
S-PR-26-47478;RECEIPT;14,00;NTR78336;PSS stolica ALBA sjedište Bull 127 konjak smeđa pak.1/2;NTR78336
S-PR-26-47478;RECEIPT;1,00;NTR78397;PSS polubarska stolica MONDO crni mat metal Kashmir 9133 žuto;NTR78397
S-PR-26-47478;RECEIPT;20,00;NTR87583;PSS sjedište stolica ZARA Monaco 9443 sv.siva/Benett 9502 siva pak.1/2;NTR87583
S-PR-26-47478;RECEIPT;8,00;NTR78338;PSS stolica ALBA sjedište Bull 156 tamno zelena pak.1/2;NTR78338
S-PR-26-47478;RECEIPT;10,00;NTR68993;PSS stolica sjedište BRIGITA Rubens 7512 zeleno pak.1/2;NTR68993
S-PR-26-47478;RECEIPT;2,00;NTR78308;PSS fotelja sjedište BRIGITA Kashmir 9490 bij.kava pak.1/2;NTR78308
S-PR-26-47478;RECEIPT;6,00;NTR86819;PSS sjedište MIA  Mist 301 žuto;NTR86819
S-PR-26-47478;RECEIPT;50,00;NTR68981;PSS stolica sjedište BRIGITA Rubens 7510 bež pak.1/2;NTR68981
S-PR-26-47478;RECEIPT;20,00;NTR78265;PSS stolica sjedište MONDO  Kashmir 9510 sivo (jez.džep);NTR78265
