Šifra;Centar odgovornosti
MP1551Z;MP KUTINA
MP1552;MP KUTINA
MP1553;MP KUTINA
MP1554;MP KUTINA
MP1571;MP NASICE
MP1571Z;MP NASICE
MP1572;MP NASICE
MP1573;MP NASICE
MP1574;MP NASICE
MP1581;MP POZEGA
MP1581Z;MP POZEGA
MP1582;MP POZEGA
MP1583;MP POZEGA
MP1584;MP POZEGA
MP1585;MP POZEGA
MP1586;MP POZEGA
MP1587;MP POZEGA
MP1588;MP POZEGA
MP1589;MP POZEGA
MP1591;MP PULA
MP1591Z;MP PULA
MP1592;MP PULA
MP1593;MP PULA
MP1594;MP PULA
MP1595;MP PULA
MP1596;MP PULA
MP1597;MP PULA
MP1598;MP PULA
MP1599;MP PULA
MP159D;MP PULA
MP159E;MP PULA
MP159F;MP PULA
MP159G;MP PULA
MP159H;MP PULA
MP1601;MP VARAŽDI
MP1601Z;MP VARAŽDI
MP1602;MP VARAŽDI
MP1602A;MP VARAŽDI
MP1603;MP VARAŽDI
MP1604;MP VARAŽDI
MP1605;MP VARAŽDI
MP1606;MP VARAŽDI
MP1607;MP VARAŽDI
MP1608;MP VARAŽDI
MP1609;MP VARAŽDI
MP1611;MP OGULIN
MP1611Z;MP OGULIN
MP1612;MP OGULIN
MP1613;MP OGULIN
MP1614;MP OGULIN
MP1621;MP IMOTSKI
MP1621Z;MP IMOTSKI
MP1622;MP IMOTSKI
MP1623;MP IMOTSKI
MP1624;MP IMOTSKI
MP1631;MP ŠIBENIK
MP1631Z;MP ŠIBENIK
MP1632;MP ŠIBENIK
MP1633;MP ŠIBENIK
MP1634;MP ŠIBENIK
MP1651;MP KAJZER
MP1651Z;MP KAJZER
MP1652;MP KAJZER
MP1652A;MP SOLIDUM
MP1653;MP KAJZER
MP1654;MP KAJZER
MP1655;MP SOLIDUM
MP1655A;MP SOLIDUM
MP1655O;MP KAJZER
MP1655S;MP KAJZER
MP1656;MP SOLIDUM
MP1657;MP SOLIDUM
MP1658;MP KAJZER
MP1659;MP KAJZER
MP1659A;MP KAJZER
MP165HTV;MP SOLIDUM
MP165PN;MP SOLIDUM
MP165RTL;MP SOLIDUM
MP165TEPIH;MP SOLIDUM
MP1671;MP MAKARSK
MP1671Z;MP MAKARSK
MP1672;MP MAKARSK
MP1673;MP MAKARSK
MP1674;MP MAKARSK
MP1675;MP MAKARSK
MP1676;MP MAKARSK
MP1677;MP MAKARSK
MP1681;MP ZABOK
MP1681Z;MP ZABOK
MP1682;MP ZABOK
MP1682A;MP ZABOK
MP1683;MP ZABOK
MP1684;MP ZABOK
MP1685;MP ZABOK
MP1686;MP ZABOK
MP1687;MP ZABOK
MP1688;MP ZABOK
MP1688A;MP ZABOK
MP1689;MP ZABOK
MP168WI;MP ZABOK
MP168WS;MP ZABOK
MP168WVP;MP ZABOK
MP1691;MP OPUZEN
MP1691Z;MP OPUZEN
MP1692;MP OPUZEN
MP1693;MP OPUZEN
MP1694;MP OPUZEN
MP1701;MP MLOSINJ
MP1701Z;MP MLOSINJ
MP1702;MP MLOSINJ
MP1703;MP MLOSINJ
MP1704;MP MLOSINJ
OS133;BJELOVAR
PR120;BJELOVAR
PS101;BJELOVAR
PS121;BJELOVAR
PS135;BJELOVAR
PS137;BJELOVAR
PS151;BJELOVAR
PS153;BJELOVAR
PS154;BJELOVAR
PS161;BJELOVAR
PS163;BJELOVAR
PS171;BJELOVAR
PS173;BJELOVAR
PS174;BJELOVAR
RS114;BJELOVAR
RS125;BJELOVAR
RS146;BJELOVAR
SIN;
